iso_code,continent,location,population,medianAge,bed,flag_wave,flag_type,K,startpoint,endpoint,startpoint_rough,endpoint_rough,confirmed,deaths,maxQuarantined,tau,tau_lb,tau_ub,s0,s0_lb,s0_ub,tc,tc_lb,tc_ub,startDate,endDate,duration
AFG,Asia,Afghanistan,38928341,18.6,0.5,1,1,6.923849302,2,121,30,200,37685,1379,20294,17.18697141,16.76247333,17.61146949,3.651942153,3.608840028,3.695044278,68.56597649,67.93324562,69.19870735,22-Apr-0020,19-Aug-0020,120
AUT,Europe,Austria,9006400,44.4,7.37,1,1,7.36076344,4,64,1,100,16067,709,4705,8.15132839,7.749558875,8.553097906,7.797764252,7.673143845,7.92238466,26.28345546,25.78621993,26.78069098,17-Mar-0020,16-May-0020,61
BEL,Europe,Belgium,11589616,41.8,5.64,1,1,8.311465637,3,63,10,100,56235,9186,11842,7.2189434,6.830676988,7.607209812,77.03673996,75.83707518,78.23640473,25.97857792,25.50739189,26.44976396,22-Mar-0020,21-May-0020,61
BIH,Europe,Bosnia and Herzegovina,3280815,42.5,3.5,1,1,7.165929393,1,59,20,90,2606,159,691,8.093855914,7.748754818,8.43895701,3.870991294,3.806252964,3.935729623,30.14435871,29.67917685,30.60954057,09-Apr-0020,06-Jun-0020,59
CMR,Africa,Cameroon,26545864,18.8,1.3,1,1,6.277062303,8,130,5,205,17718,391,3265,19.43584341,18.2491121,20.62257472,1.521913009,1.481635907,1.562190112,60.40815103,58.75800456,62.05829749,05-Apr-0020,05-Aug-0020,123
CAN,North America,Canada,37742157,41.4,2.5,1,1,7.075859897,7,89,10,150,98806,8746,30021,11.58869751,11.05196215,12.12543288,23.28370503,22.91151241,23.65589765,36.5764951,35.89943086,37.25355934,23-Mar-0020,13-Jun-0020,83
CIV,Africa,Cote d'Ivoire,26378275,18.7,NaN,1,1,6.651250182,6,139,25,300,18701,119,5264,19.99624076,19.45726977,20.53521175,0.401407158,0.396988442,0.405825875,65.42943286,64.69708223,66.16178349,27-Apr-0020,07-Sep-0020,134
HRV,Europe,Croatia,4105268,44,5.54,1,1,7.591345462,4,73,1,100,2246,103,979,9.089297852,8.71294666,9.465649045,2.506867846,2.471602716,2.542132976,32.6356505,32.15720087,33.11410013,22-Mar-0020,30-May-0020,70
CZE,Europe,Czechia,10708982,43.3,6.63,1,1,7.097792429,1,66,1,100,9050,317,2259,9.157776964,8.341570056,9.973983871,2.855929587,2.777110132,2.934749041,25.81651488,24.84063455,26.79239521,22-Mar-0020,26-May-0020,66
DNK,Europe,Denmark,5792203,42.3,2.5,1,1,7.009255873,3,72,1,200,11360,562,2769,9.844126288,9.234223558,10.45402902,9.74236463,9.537620613,9.947108647,30.11962047,29.35845321,30.88078773,16-Mar-0020,24-May-0020,70
SWZ,Africa,Eswatini,1160164,21.5,2.1,1,1,7.838201959,4,114,60,200,5579,112,663,14.03383079,13.60902201,14.45863958,9.167817574,9.072499879,9.263135269,53.41550069,52.87085455,53.96014682,17-Jun-0020,05-Oct-0020,111
FIN,Europe,Finland,5540718,42.8,3.28,1,1,7.653582968,8,68,5,112,6573,299,1729,7.839465549,7.481141648,8.197789449,5.38107689,5.302210614,5.459943167,26.99878769,26.55355487,27.4440205,18-Mar-0020,17-May-0020,61
FRA,Europe,France,65273512,42,5.98,1,1,8.399480153,4,66,30,158,180143,27976,96542,7.381409191,6.95676169,7.806056692,41.04448247,40.38992224,41.69904271,25.54603353,25.03760567,26.0544614,18-Mar-0020,19-May-0020,63
DEU,Europe,Germany,83783945,46.6,8,1,1,7.798086417,9,83,5,129,182370,8551,65257,9.48950756,9.075177844,9.903837275,10.07881025,9.947260225,10.21036027,30.83265859,30.33109998,31.3342172,21-Mar-0020,03-Jun-0020,75
GRC,Europe,Greece,10423056,45.3,4.21,1,1,7.607736094,4,87,1,100,3049,182,1847,10.90994732,10.05729588,11.76259876,1.64093853,1.605628283,1.676248777,29.86550971,28.88072393,30.8502955,14-Mar-0020,05-Jun-0020,84
HTI,North America,Haiti,11402533,24.3,0.7,1,1,6.425417495,5,117,20,317,7949,196,2530,17.43077397,16.48032355,18.38122438,1.601798457,1.561143753,1.642453161,60.03421698,58.64944593,61.41898802,30-Apr-0020,20-Aug-0020,113
HUN,Europe,Hungary,9660350,43.4,7.02,1,1,7.274778727,5,87,10,140,4079,568,1743,11.2718205,10.6149453,11.92869571,5.6635578,5.563188455,5.763927146,32.30283858,31.5186561,33.08702107,28-Mar-0020,18-Jun-0020,83
IND,Asia,India,1380004385,28.2,0.53,1,1,7.655946263,5,269,60,400,10766245,154486,1017754,34.48300065,34.01241504,34.95358627,11.01147329,10.96016703,11.06277955,122.5522008,121.9528853,123.1515163,13-May-0020,01-Feb-0021,265
IRL,Europe,Ireland,4937796,38.7,2.96,1,1,8.339761719,6,69,10,141,24803,1631,5814,7.554172663,7.452222091,7.656123235,32.46616651,32.33218586,32.60014715,29.2432247,29.11705942,29.36938997,25-Mar-0020,27-May-0020,64
ISR,Asia,Israel,8655541,30.6,2.99,1,1,7.927432706,3,64,1,100,16643,281,2426,7.694798841,7.165149982,8.2244477,3.105583965,3.043841445,3.167326485,24.95040287,24.31518621,25.58561953,22-Mar-0020,22-May-0020,62
ITA,Europe,Italy,60461828,47.9,3.18,1,1,7.510986969,5,92,10,181,232997,33415,108257,11.58303168,10.95152743,12.21453593,54.30121529,53.41495979,55.1874708,34.64637323,33.89022998,35.40251647,05-Mar-0020,31-May-0020,88
JPN,Asia,Japan,126476458,48.2,13.05,1,1,7.888079983,4,83,35,151,17054,922,11525,10.01511143,9.795262866,10.23495999,0.715549065,0.709785115,0.721313014,41.51849708,41.22841922,41.80857493,21-Mar-0020,08-Jun-0020,80
KAZ,Asia,Kazakhstan,18776707,30.6,6.7,1,1,6.622170382,2,50,110,161,131596,1878,8211,7.248378889,6.367461526,8.129296252,7.95223087,7.5846558,8.31980594,22.84459797,21.69165608,23.99753985,15-Jul-0020,01-Sep-0020,49
KOR,Asia,"Korea, South",51269183,43.4,12.27,1,1,7.098580718,1,80,1,100,10874,256,7577,11.12898523,10.80765855,11.45031192,0.50665668,0.50156901,0.511744349,35.69634569,35.28908971,36.10360168,20-Feb-0020,09-May-0020,80
LUX,Europe,Luxembourg,625976,39.7,4.51,1,1,7.410666147,2,69,1,120,3980,109,1926,9.041022584,8.404595858,9.677449309,16.77973073,16.41289401,17.14656746,27.89155044,27.11856193,28.66453894,15-Mar-0020,21-May-0020,68
MDG,Africa,Madagascar,27691019,19.6,0.2,1,1,8.303648167,8,107,30,277,16377,229,767,11.92247046,11.37303874,12.47190219,0.747206033,0.737230132,0.757181933,41.95165612,41.28570716,42.61760509,22-Jun-0020,29-Sep-0020,100
MWI,Africa,Malawi,19129955,18.1,1.3,1,1,7.238867048,6,67,80,200,5536,174,480,8.426733023,8.065495125,8.78797092,0.847020804,0.834725195,0.859316412,27.59348255,27.13906098,28.04790411,30-Jun-0020,30-Aug-0020,62
MYS,Asia,Malaysia,32365998,29.9,1.9,1,1,6.528572659,2,62,1,100,6894,113,1343,9.190370259,8.302437424,10.07830309,0.341266134,0.332297218,0.350235051,18.44724391,17.50767842,19.3868094,18-Mar-0020,17-May-0020,61
MLI,Africa,Mali,20250834,16.4,0.1,1,1,6.279781339,3,103,1,161,2370,120,329,15.92412134,15.53859783,16.30964484,0.626001199,0.618706195,0.633296204,54.21968148,53.64829735,54.79106561,31-Mar-0020,09-Jul-0020,101
MRT,Africa,Mauritania,4649660,20.3,NaN,1,1,7.81168077,3,66,50,153,6027,155,19,8.064845692,7.437231281,8.692460102,3.143598415,3.073014715,3.214182114,25.27153322,24.52242346,26.02064298,20-May-0020,22-Jul-0020,64
MAR,Africa,Morocco,36910558,29.6,1.1,1,1,7.904286734,3,55,10,100,6418,188,212,6.578708712,5.964953567,7.192463857,0.477679909,0.465340648,0.490019171,20.16352566,19.44061533,20.88643599,21-Mar-0020,12-May-0020,53
NAM,Africa,Namibia,2540916,22,NaN,1,1,7.937708527,2,83,15,150,12069,130,13,10.20445633,9.764887005,10.64402565,4.734220629,4.670188926,4.798252332,36.43638171,35.89152673,36.98123668,25-Jul-0020,14-Oct-0020,82
NPL,Asia,Nepal,29136808,25,0.3,1,1,6.334806066,1,180,80,278,270745,2025,23507,28.2565872,27.73560584,28.77756856,7.080213971,7.017184986,7.143242956,96.77407557,96.00002517,97.54812598,03-Aug-0020,29-Jan-0021,180
NLD,Europe,Netherlands,17134873,43.2,3.32,1,1,7.405947009,7,82,5,147,46442,5951,27134,10.12699658,9.594414023,10.65957913,34.38501748,33.83767118,34.93236377,30.03378887,29.395286,30.67229173,16-Mar-0020,30-May-0020,76
NIC,North America,Nicaragua,6624554,27.3,0.9,1,1,5.441592851,4,138,40,328,3979,147,893,24.62514261,24.24677444,25.00351078,2.199589954,2.185827143,2.213352765,55.37536788,54.89351102,55.85722474,09-May-0020,20-Sep-0020,135
NGA,Africa,Nigeria,206139587,18.1,NaN,1,1,6.421694021,4,160,30,332,58324,1108,22300,24.29265541,24.16420015,24.42111067,0.529065232,0.52805023,0.530080233,65.8305844,65.6691082,65.9920606,24-Apr-0020,27-Sep-0020,157
NOR,Europe,Norway,5421242,39.7,3.6,1,1,8.524349503,2,55,10,100,8237,232,3064,6.21748322,5.835665169,6.599301272,3.87527562,3.816278642,3.934272599,18.85442415,18.41438604,19.29446227,24-Mar-0020,16-May-0020,54
PAK,Asia,Pakistan,220892331,23.5,0.6,1,1,7.779335672,5,124,25,175,285921,6129,97810,15.29693601,15.02152727,15.57234476,2.803555918,2.783778784,2.823333053,64.58914827,64.21554747,64.96274907,15-Apr-0020,12-Aug-0020,120
PRT,Europe,Portugal,10196707,46.2,3.39,1,1,6.890884141,3,91,1,150,37036,1520,19700,12.77049479,11.88591989,13.65506968,14.34807913,14.03492393,14.66123433,34.22619445,33.17229582,35.28009308,19-Mar-0020,15-Jun-0020,89
QAT,Asia,Qatar,2881060,31.9,1.2,1,1,6.386001865,6,98,45,160,115080,193,35634,14.40651004,13.61650209,15.196518,6.003038673,5.879132486,6.126944861,40.7184978,39.70365156,41.73334405,16-May-0020,16-Aug-0020,93
SEN,Africa,Senegal,16743930,18.7,NaN,1,1,6.823781067,2,157,30,251,15068,312,3001,22.71467951,22.26806868,23.16129034,1.862088555,1.84677026,1.877406851,79.35340756,78.7359167,79.97089841,01-May-0020,03-Oct-0020,156
SRB,Europe,Serbia,6804596,41.2,5.609,1,1,5.982774916,4,67,1,100,11193,239,649,10.53023068,10.32375133,10.73671004,3.63541598,3.606377027,3.664454934,28.92425946,28.65088873,29.19763019,23-Mar-0020,25-May-0020,64
SVN,Europe,Slovenia,2078932,44.5,4.5,1,1,7.745725226,6,61,1,106,1463,103,412,7.100690819,6.64715738,7.554224258,4.893811965,4.792218926,4.995405004,25.56282115,24.99465095,26.13099135,19-Mar-0020,13-May-0020,56
ESP,Europe,Spain,46754783,45.5,2.97,1,1,7.609258367,2,70,10,153,232555,27888,85610,8.936481943,8.299128692,9.573835195,57.76697869,56.56448592,58.96947145,26.82357579,26.06545303,27.58169855,13-Mar-0020,20-May-0020,69
SDN,Africa,Sudan,43849269,19.7,0.8,1,1,9.279584672,3,123,40,240,12682,812,4786,12.93161324,12.15756355,13.70566293,1.663211352,1.63739718,1.689025524,49.14504968,48.22190069,50.06819866,23-Apr-0020,21-Aug-0020,121
SWE,Europe,Sweden,10099270,41,2.22,1,1,6.802286551,6,123,5,220,73364,5545,32197,17.20009869,16.36057519,18.03962219,54.32024358,53.42170827,55.21877889,48.63129218,47.59567471,49.66690965,19-Mar-0020,14-Jul-0020,118
CHE,Europe,Switzerland,8654618,43.1,4.53,1,1,7.567243181,4,61,5,103,30251,1745,11442,7.532465739,7.175108953,7.889822525,20.15750307,19.83748263,20.47752351,26.68224778,26.23092451,27.13357106,13-Mar-0020,09-May-0020,58
ARE,Asia,United Arab Emirates,9890400,34,1.2,1,1,7.24520546,2,90,30,300,56129,335,14626,12.14596335,10.98570489,13.30622182,2.823243113,2.76045381,2.886032417,23.08717098,21.90840656,24.2659354,19-Apr-0020,16-Jul-0020,89
GBR,Europe,United Kingdom,67886004,40.8,2.54,1,1,7.553079778,7,88,10,181,267656,39025,138120,10.72410227,10.08545045,11.36275409,55.20015676,54.242704,56.15760952,31.35884784,30.60246295,32.11523272,21-Mar-0020,10-Jun-0020,82
UZB,Asia,Uzbekistan,33469199,28.2,4,1,1,6.373305385,2,154,90,256,71985,604,9549,23.84947697,23.06030668,24.63864725,1.770452844,1.747608642,1.793297046,68.73247854,67.69903284,69.76592425,25-Jun-0020,24-Nov-0020,153
YEM,Asia,Yemen,29825968,20.3,0.7,1,1,7.433252817,5,114,10,181,1953,564,167,14.66383597,13.9485387,15.37913324,1.81156425,1.783460692,1.839667808,46.02760595,45.14974773,46.90546417,13-May-0020,30-Aug-0020,110
ZMB,Africa,Zambia,18383956,17.7,2,1,1,4.381951046,3,48,100,250,11376,282,628,10.26939816,8.125440064,12.41335625,1.481453859,1.305368033,1.657539685,22.4603241,19.15907652,25.76157168,12-Jul-0020,26-Aug-0020,46
ZWE,Africa,Zimbabwe,14862927,19.6,1.7,1,1,6.365102567,6,75,100,230,7508,224,672,10.84035949,10.14879388,11.53192509,1.558763917,1.506160842,1.611366991,40.82011372,39.73208932,41.90813813,05-Jul-0020,12-Sep-0020,70
,Asia,Wuhan,11210000,38.7,8.59,1,1,8.241217001,2,53,1,80,49999,2456,37746,6.188406396,6.01162762,6.365185172,21.8807669,21.68769165,22.07384216,23.93260072,23.71329247,24.15190896,23-Jan-20,14-Mar-20,52
AFG,Asia,Afghanistan,38928341,18.6,0.5,2,1,7.31411825,4,117,200,400,15357,930,4636,15.44957247,15.18680473,15.71234022,2.449940758,2.431717649,2.468163867,63.69077287,63.31610711,64.06543864,11-Oct-0020,01-Feb-0021,114
SWZ,Africa,Eswatini,1160164,21.5,2.1,2,1,7.521511818,3,68,245,400,9763,510,4552,8.641879661,8.292249511,8.991509812,44.69735559,44.05996143,45.33474975,31.74024444,31.28913595,32.19135293,18-Dec-0020,21-Feb-0021,66
MDG,Africa,Madagascar,27691019,19.6,0.2,2,1,6.40212664,6,128,290,450,22527,629,6480,19.05616787,18.89967374,19.21266201,2.296668295,2.289835463,2.303501127,51.53766003,51.3412008,51.73411925,07-Mar-0021,07-Jul-0021,123
MWI,Africa,Malawi,19129955,18.1,1.3,2,1,7.9266131,4,59,270,400,25261,853,14089,6.938650759,6.605738773,7.271562744,4.417499735,4.349155227,4.485844244,25.9349078,25.51762238,26.35219323,04-Jan-0021,28-Feb-0021,56
MLI,Africa,Mali,20250834,16.4,0.1,2,1,7.566470905,3,90,230,350,4397,200,1497,11.49809483,11.08535821,11.91083145,0.978588734,0.96670526,0.990472209,40.46275086,39.93958115,40.98592056,15-Nov-0020,10-Feb-0021,88
MRT,Africa,Mauritania,4649660,20.3,NaN,2,1,7.823596938,6,70,235,350,16506,419,2968,8.180380521,7.787504463,8.57325658,5.265753923,5.183553201,5.347954645,29.81828176,29.32547255,30.31109097,24-Nov-20,27-Jan-21,65
MAR,Africa,Morocco,36910558,29.6,1.1,2,1,6.952649563,5,225,135,400,484753,8653,49800,31.64261308,31.21392149,32.07130467,23.31917352,23.19303723,23.44530981,109.2217966,108.6422267,109.8013665,26-Jul-20,03-Mar-21,221
SEN,Africa,Senegal,16743930,18.7,NaN,2,1,7.057475613,4,150,245,440,24188,774,4884,20.68728367,20.23983634,21.134731,4.722902323,4.683837733,4.761966914,71.03619907,70.44289345,71.6295047,04-Dec-0020,29-Apr-0021,147
SRB,Europe,Serbia,6804596,41.2,5.609,2,1,6.743598946,7,85,90,200,19556,471,30782,11.56652414,11.3629548,11.77009348,6.927228082,6.887824307,6.966631857,30.7885262,30.54445116,31.03260124,23-Jun-0020,09-Sep-0020,79
SVN,Europe,Slovenia,2078932,44.5,4.5,2,1,7.03413661,5,151,215,400,199854,3929,24419,20.75592331,19.96477379,21.54707282,179.7772379,177.5349381,182.0195377,59.8667708,58.89888776,60.83465384,18-Oct-20,13-Mar-21,147
SWE,Europe,Sweden,10099270,41,2.22,2,1,6.430375256,9,126,240,400,558245,7045,551200,18.1948946,17.55295245,18.83683674,72.51693899,71.40896067,73.6249173,59.09871575,58.20225068,59.99518083,12-Nov-0020,09-Mar-0021,118
CHE,Europe,Switzerland,8654618,43.1,4.53,2,1,6.354173125,6,139,220,400,554932,10002,164049,20.93112627,20.75388092,21.10837162,95.62714842,95.32523892,95.92905792,57.42963558,57.20385522,57.65541594,16-Oct-20,26-Feb-21,134
YEM,Asia,Yemen,29825968,20.3,0.7,2,1,8.209318907,5,100,295,450,6723,1316,580,11.57221459,11.26462578,11.87980339,2.317102326,2.29792991,2.336274742,43.57268114,43.1907083,43.95465399,22-Feb-21,28-May-21,96
ZMB,Africa,Zambia,18383956,17.7,2,2,1,7.316295137,4,100,270,400,69175,839,9659,13.12139521,12.58872772,13.65406271,4.466157704,4.412346838,4.51996857,36.62008476,35.99113628,37.24903325,30-Dec-0020,05-Apr-0021,97
ZWE,Africa,Zimbabwe,14862927,19.6,1.7,2,1,8.82163708,3,59,280,400,35910,1448,3190,6.348028092,6.084555007,6.611501176,7.246363918,7.164169413,7.328558424,24.076149,23.75912653,24.39317148,29-Dec-20,23-Feb-21,57
DNK,Europe,Denmark,5792203,42.3,2.5,2,1,7.467974624,5,105,245,400,209682,2351,43365,13.39051149,13.24622702,13.53479596,28.51411286,28.38675717,28.64146855,55.1714151,54.97090371,55.3719265,17-Nov-20,25-Feb-21,101
IND,Asia,India,1380004385,28.2,0.53,2,1,9.608029242,5,159,380,800,32768880,438560,3745237,16.02826096,15.54807667,16.50844525,19.27825285,19.1431618,19.4133439,55.01506246,54.45571809,55.57440683,29-Mar-21,30-Aug-21,155
AFG,Asia,Afghanistan,38928341,18.6,0.5,3,1,7.074654373,4,92,420,600,88549,4279,138956,12.4387702,12.0076133,12.8699271,11.16276552,11.01201867,11.31351236,44.22762833,43.64987843,44.80537823,19-May-0021,15-Aug-0021,89
SWZ,Africa,Eswatini,1160164,21.5,2.1,3,1,7.462121645,7,96,440,600,26921,546,44482,11.92690286,11.67454984,12.17925588,47.73423357,47.36751179,48.10095535,43.89420296,43.56479314,44.22361279,05-Jul-0021,02-Oct-0021,90
MDG,Africa,Madagascar,27691019,19.6,0.2,3,1,7.200172669,5,86,570,696,18859,394,18465,11.24973021,10.57814501,11.92131542,1.430577522,1.398700318,1.462454727,39.83802952,38.95447184,40.72158721,11-Dec-0021,02-Mar-0022,82
MWI,Africa,Malawi,19129955,18.1,1.3,3,1,8.858916365,4,95,440,600,61433,2268,14874,10.27213671,10.03237656,10.51189686,5.707445823,5.667832548,5.747059099,42.90283854,42.6070039,43.19867319,23-Jun-21,22-Sep-21,92
MLI,Africa,Mali,20250834,16.4,0.1,3,1,6.576448675,7,77,340,600,5761,154,3569,10.64404262,10.24838837,11.03969688,0.817892536,0.802463216,0.833321856,41.15465931,40.54600816,41.76331045,09-Mar-0021,18-May-0021,71
MRT,Africa,Mauritania,4649660,20.3,NaN,3,1,6.203294223,4,82,460,600,14617,278,34182,12.57396428,11.99519687,13.1527317,6.284577342,6.147943526,6.421211158,41.61042309,40.76366149,42.45718469,05-Jul-0021,21-Sep-0021,79
MAR,Africa,Morocco,36910558,29.6,1.1,3,1,8.388289358,6,104,485,620,942280,14561,848299,11.68295415,11.38067386,11.98523445,13.94085348,13.83189578,14.04981118,44.31626288,43.9437605,44.68876527,12-Jul-21,18-Oct-21,99
SEN,Africa,Senegal,16743930,18.7,NaN,3,1,7.702063782,8,86,450,600,73588,1842,5031,10.12715581,9.859350776,10.39496085,4.137876289,4.097117008,4.178635569,40.70918705,40.35423885,41.06413526,01-Jul-21,17-Sep-21,79
CHE,Europe,Switzerland,8654618,43.1,4.53,3,2,5.641525346,4,85,515,600,865708,11193,797107,14.35781904,13.61382773,15.10181034,4.79676934,4.660357589,4.933181091,45.13963052,43.95863661,46.32062443,05-Aug-21,25-Oct-21,82
YEM,Asia,Yemen,29825968,20.3,0.7,3,1,6.993603405,8,128,450,600,2978,573,6568,17.1585366,16.39977297,17.91730024,1.942505246,1.910272438,1.974738053,57.10147359,56.10641783,58.09652935,30-Jul-0021,27-Nov-0021,121
ZMB,Africa,Zambia,18383956,17.7,2,3,1,8.168126817,6,81,425,600,203553,3564,10900,9.182031778,8.804651145,9.559412411,12.13273558,11.99422854,12.27124261,29.73129001,29.28256123,30.18001879,05-Jun-21,19-Aug-21,76
ZWE,Africa,Zimbabwe,14862927,19.6,1.7,3,1,8.957148528,3,87,450,600,126056,4521,20147,9.377984493,9.069726311,9.686242676,18.81677184,18.64015327,18.99339042,38.24023726,37.86399992,38.61647459,17-Jun-21,09-Sep-21,85
AFG,Asia,Afghanistan,38928341,18.6,0.5,4,1,7.608789558,1,74,655,816,177093,7654,151591,9.594167304,9.291080102,9.897254506,0.763539613,0.753289286,0.77378994,42.0146321,41.58763628,42.44162793,06-Jan-0022,20-Mar-0022,74
SWZ,Africa,Eswatini,1160164,21.5,2.1,4,1,7.866596176,8,62,595,792,68367,1375,45213,6.86446829,6.565710012,7.163226567,11.03558995,10.87119659,11.19998331,26.95168134,26.56859952,27.33476317,08-Dec-0021,31-Jan-0022,55
MWI,Africa,Malawi,19129955,18.1,1.3,4,1,7.728678442,5,78,615,800,85328,2615,60072,9.445340565,9.03321058,9.85747055,1.577495132,1.556501552,1.598488712,30.93258062,30.43051495,31.43464629,16-Dec-0021,27-Feb-0022,74
MLI,Africa,Mali,20250834,16.4,0.1,4,1,4.734447972,4,109,570,810,30156,715,16758,22.17787599,20.83352434,23.52222764,0.890253554,0.851816077,0.928691031,62.51072151,60.01120906,65.01023397,22-Oct-0021,04-Feb-0022,106
MRT,Africa,Mauritania,4649660,20.3,NaN,4,1,6.574906621,6,76,620,800,58618,977,39112,10.64653904,10.29803611,10.99504196,2.960100202,2.918104735,3.002095669,36.59578797,36.10658678,37.08498916,14-Dec-0021,22-Feb-0022,71
MAR,Africa,Morocco,36910558,29.6,1.1,4,1,7.960127407,5,74,655,800,1161698,16022,1044574,8.668202967,8.52638808,8.810017853,3.276893415,3.257620476,3.296166353,36.0685998,35.88293265,36.25426695,28-Dec-0021,07-Mar-0022,70
CHE,Europe,Switzerland,8654618,43.1,4.53,4,1,6.661609525,1,239,550,833,3619598,13714,3255625,35.72710155,34.95677715,36.49742595,33.76274453,33.4163593,34.10912975,131.5749049,130.4337222,132.7160877,06-Sep-0021,02-May-0022,239
ZMB,Africa,Zambia,18383956,17.7,2,4,1,7.78778473,3,62,620,800,309013,3936,206553,7.575966985,7.282845665,7.869088305,1.422671742,1.405217465,1.440126018,26.70123737,26.33744278,27.06503196,14-Dec-0021,11-Feb-0022,60
ZWE,Africa,Zimbabwe,14862927,19.6,1.7,4,1,8.362212045,3,68,620,800,230402,5362,145908,7.773062875,7.468195035,8.077930715,4.345396135,4.293334827,4.397457443,30.1752187,29.79796457,30.55247282,04-Dec-0021,07-Feb-0022,66
